2025-04-15 16:15:37 | 127.0.0.1 | GET | /index | 200
2025-04-15 16:15:37 | 127.0.0.1 | GET | /style.css | 200
2025-04-15 16:15:37 | 127.0.0.1 | GET | /images.jpg | 200
2025-04-15 16:15:37 | 127.0.0.1 | GET | /Testeo_3.mp4 | 200
2025-04-15 16:20:04 | 127.0.0.1 | GET | /index | 200
2025-04-15 16:20:04 | 127.0.0.1 | GET | /style.css | 200
2025-04-15 16:20:04 | 127.0.0.1 | GET | /images.jpg | 200
2025-04-15 16:20:04 | 127.0.0.1 | GET | /Testeo_3.mp4 | 200
2025-04-15 16:20:07 | 127.0.0.1 | GET | /favicon.ico | 404
2025-04-15 16:48:44 | 127.0.0.1 | HEAD | /index | 200
2025-04-16 09:50:57 | 127.0.0.1 | GET | /index | 200
2025-04-16 09:51:22 | 127.0.0.1 | GET | /index | 200
2025-04-16 09:51:22 | 127.0.0.1 | GET | /style.css | 200
2025-04-16 09:51:23 | 127.0.0.1 | GET | /images.jpg | 200
2025-04-16 09:51:23 | 127.0.0.1 | GET | /Testeo_3.mp4 | 200
2025-04-16 09:51:24 | 127.0.0.1 | GET | /favicon.ico | 404
2025-04-16 09:53:17 | 127.0.0.1 | POST | /submit | 400
2025-04-16 10:29:49 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:29:49 | 127.0.0.1 | GET | /templates/images.jpg | 404
2025-04-16 10:31:02 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:31:02 | 127.0.0.1 | GET | /templates/images.jpg | 404
2025-04-16 10:31:04 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:31:04 | 127.0.0.1 | GET | /templates/images.jpg | 404
2025-04-16 10:32:15 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:32:15 | 127.0.0.1 | GET | /images.jpg | 404
2025-04-16 10:33:59 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:33:59 | 127.0.0.1 | GET | /images.jpg | 404
2025-04-16 10:35:00 | 127.0.0.1 | GET | /case1 | 200
2025-04-16 10:35:00 | 127.0.0.1 | GET | /images.jpg | 404
